age,interest,pid,sex,race
63,1,Repubican,Female,White
76,2,Democrat,Female,Non-Whte
19,1,Democrat,Male,Non-Whte
25,3,Democrat,Male,White
30,2,Democrat,Female,Non-Whte
56,1,Democrat,Female,Non-Whte
86,1,Democrat,Female,White
69,1,Democrat,Female,Non-Whte
39,1,Independent,Male,White
36,1,Democrat,Female,White
45,2,Independent,Male,White
20,1,Independent,Male,White
48,1,Independent,Female,White
78,1,Repubican,Male,White
78,2,Democrat,Female,White
70,2,Democrat,Male,White
22,1,Democrat,Male,White
94,1,Independent,Female,White
39,1,Repubican,Female,White
36,4,Independent,Male,White
34,4,Repubican,Female,White
70,1,Democrat,Female,White
33,1,Repubican,Male,White
65,1,Democrat,Male,White
51,2,Independent,Male,White
54,4,Independent,Female,White
40,2,Repubican,Female,White
71,1,Democrat,Female,White
44,2,Independent,Female,White
53,1,Repubican,Male,White
33,1,Democrat,Male,Non-Whte
27,1,Repubican,Male,White
21,2,Democrat,Male,White
75,3,Independent,Male,White
23,3,Independent,Female,White
73,1,Democrat,Female,White
45,1,Repubican,Male,White
40,4,Independent,Male,White
130,1,Repubican,Male,White
94,2,Repubican,Female,White
32,1,Independent,Female,White
21,2,Democrat,Female,White
30,1,Independent,Male,White
56,2,Repubican,Male,White
130,1,Independent,Male,White
41,1,Democrat,Female,White
24,2,Democrat,Female,White
34,1,Democrat,Male,White
47,1,Repubican,Male,White
54,2,Independent,Female,White
26,1,Repubican,Male,White
27,2,Democrat,Male,White
52,4,Independent,Male,White
53,1,Repubican,Female,White
75,2,Democrat,Female,White
20,4,Independent,Male,White
34,1,Independent,Male,White
59,1,Independent,Male,White
49,2,Repubican,Female,White
36,1,Repubican,Male,White
69,1,Repubican,Male,White
36,1,Democrat,Female,White
63,1,Independent,Female,White
43,1,Democrat,Female,White
60,1,Repubican,Male,White
80,1,Democrat,Female,White
50,2,Repubican,Male,White
85,1,Repubican,Female,White
50,2,Repubican,Female,White
44,1,Independent,Male,White
34,1,Repubican,Female,White
47,1,Independent,Female,Non-Whte
43,1,Democrat,Male,White
51,1,Independent,Male,White
54,1,Repubican,Male,White
41,2,Independent,Male,White
53,1,Independent,Female,White
51,1,Repubican,Male,White
36,1,Repubican,Female,White
63,1,Democrat,Female,White
64,1,Democrat,Female,White
22,1,Democrat,Female,White
42,1,Independent,Male,White
59,1,Repubican,Female,White
40,1,Repubican,Male,White
51,1,Democrat,Female,White
64,1,Democrat,Female,White
55,1,Repubican,Female,White
33,1,Independent,Male,White
56,1,Repubican,Male,White
29,1,Democrat,Female,Non-Whte
73,1,Repubican,Female,White
36,2,Democrat,Female,Non-Whte
80,1,Independent,Female,White
52,1,Repubican,Female,White
63,1,Repubican,Male,White
54,1,Repubican,Male,White
68,1,Democrat,Female,White
26,2,Independent,Female,White
71,1,Repubican,Male,White
76,1,Repubican,Male,White
55,1,Democrat,Female,White
72,1,Repubican,Male,White
19,4,Repubican,Male,White
49,1,Independent,Female,White
39,3,Independent,Female,White
65,2,Independent,Male,White
60,1,Democrat,Male,White
51,1,Independent,Female,White
58,3,Independent,Male,White
